Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Name,/mixture/parentSubstance/name,root_mixture_parentSubstance_name,,Mixture Parent Substance Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,,,,,,,,,,,,,,
References,/mixture/parentSubstance/references,,,Mixture Parent Substance References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Ref Pname,/mixture/parentSubstance/refPname,root_mixture_parentSubstance_refPname,,Mixture Parent Substance Preferred Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,,,,,,,,,,,,,,
Refuuid,/mixture/parentSubstance/refuuid,root_mixture_parentSubstance_refuuid,,Mixture Parent Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/mixture/parentSubstance/substanceClass,root_mixture_parentSubstance_substanceClass,,Mixture Parent Substance Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/mixture/parentSubstance/uuid,root_mixture_parentSubstance_uuid,,Mixture Parent Substance UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
References,/mixture/references,,,Mixture References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Uuid,/mixture/uuid,root_mixture_uuid,,Mixture UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Modifications,/modifications,,,Modifications,REMOVE LUCENE PATH,,"A container for the set of physical, structural and agent modifications on the substance record.",modifications,Current,object <Modification>,,,,,,,,,,,,,,
Access,/modifications/access,root_modifications_access,ACCESS_GROUP,Modification Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Access,/modifications/agentModifications/?/access,root_modifications_agentModifications_access,ACCESS_GROUP,Agent Modification Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Agent Modification Role,/modifications/agentModifications/?/agentModificationRole,root_modifications_agentModifications_agentModificationRole,ROLE,Agent Modification Agent Modification Role,,,The role of the agent in the modification process.,agentModificationRole,Current,string,,,,,,,,,,,,,,
Agent Modification Type,/modifications/agentModifications/?/agentModificationType,root_modifications_agentModifications_agentModificationType,AGENT_MODIFICATION_TYPE,Agent Modification Agent Modification Type,,,The type of agent modification.,agentModificationType,Current,string,,,,,,,,,,,,,,
Access,/modifications/agentModifications/?/agentSubstance/access,root_modifications_agentModifications_agentSubstance_access,ACCESS_GROUP,Agent Substance Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/modifications/agentModifications/?/agentSubstance/approvalID,root_modifications_agentModifications_agentSubstance_approvalID,,Agent Substance Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/modifications/agentModifications/?/agentSubstance/created,root_modifications_agentModifications_agentSubstance_created,,Agent Substance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/modifications/agentModifications/?/agentSubstance/createdBy,root_modifications_agentModifications_agentSubstance_createdBy,,Agent Substance Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/modifications/agentModifications/?/agentSubstance/deprecated,root_modifications_agentModifications_agentSubstance_deprecated,,Agent Substance Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/modifications/agentModifications/?/agentSubstance/lastEdited,root_modifications_agentModifications_agentSubstance_lastEdited,,Agent Substance Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/modifications/agentModifications/?/agentSubstance/lastEditedBy,root_modifications_agentModifications_agentSubstance_lastEditedBy,,Agent Substance Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/modifications/agentModifications/?/agentSubstance/linkingID,root_modifications_agentModifications_agentSubstance_linkingID,,Agent Substance Linking ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
Name,/modifications/agentModifications/?/agentSubstance/name,root_modifications_agentModifications_agentSubstance_name,,Agent Substance Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,,,,,,,,,,,,,,
References,/modifications/agentModifications/?/agentSubstance/references,,,Agent Substance References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Refuuid,/modifications/agentModifications/?/agentSubstance/refuuid,root_modifications_agentModifications_agentSubstance_refuuid,,Agent Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/modifications/agentModifications/?/agentSubstance/substanceClass,root_modifications_agentModifications_agentSubstance_substanceClass,,Agent Substance Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/modifications/agentModifications/?/agentSubstance/uuid,root_modifications_agentModifications_agentSubstance_uuid,,Agent Substance UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Amount,/modifications/agentModifications/?/amount,,,Agent Modification Amount,REMOVE LUCENE PATH,,The amount of the agent which was used in the modification.,amount,Current,object <Amount>,,,,,,,,,,,,,,
Access,/modifications/agentModifications/?/amount/access,root_modifications_agentModifications_amount_access,ACCESS_GROUP,Agent Modification Amount Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/modifications/agentModifications/?/amount/average,root_modifications_agentModifications_amount_average,,Agent Modification Amount Average,,,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/modifications/agentModifications/?/amount/created,root_modifications_agentModifications_amount_created,,Agent Modification Amount Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/modifications/agentModifications/?/amount/createdBy,root_modifications_agentModifications_amount_createdBy,,Agent Modification Amount Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/modifications/agentModifications/?/amount/deprecated,root_modifications_agentModifications_amount_deprecated,,Agent Modification Amount Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/modifications/agentModifications/?/amount/high,root_modifications_agentModifications_amount_high,,Agent Modification Amount High,,,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
High Limit,/modifications/agentModifications/?/amount/highLimit,root_modifications_agentModifications_amount_highLimit,,Agent Modification Amount High Limit,,,The highest allowable numeric value usable for the amount. (highest limit).,highLimit,Current,number,,,,,,,,,,,,,,
Last Edited,/modifications/agentModifications/?/amount/lastEdited,root_modifications_agentModifications_amount_lastEdited,,Agent Modification Amount Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/modifications/agentModifications/?/amount/lastEditedBy,root_modifications_agentModifications_amount_lastEditedBy,,Agent Modification Amount Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/modifications/agentModifications/?/amount/low,root_modifications_agentModifications_amount_low,,Agent Modification Amount Low,,,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Low Limit,/modifications/agentModifications/?/amount/lowLimit,root_modifications_agentModifications_amount_lowLimit,,Agent Modification Amount Low Limit,,,The lowest allowable numeric value usable for the amount. (lowest limit).,lowLimit,Current,number,,,,,,,,,,,,,,
